EC	count
1.14.15.22	1
1.14.15.23	1
1.14.15.24	3
1.14.15.28	6
1.14.15.29	5
1.14.15.3	7
1.14.15.30	10
1.14.15.31	1
1.14.15.32	1
1.14.15.33	1
1.14.15.34	1
1.14.15.35	1
1.14.15.8	1
1.14.15.9	1
1.14.16.1	10216
1.14.16.7	1
1.14.18.1	5
1.14.18.3	2
1.14.19.3	1
1.14.19.49	1
1.14.19.56	1
1.14.19.6	2
1.14.19.69	2
1.14.19.70	2
1.14.19.77	1
1.14.19.8	2
1.14.19.9	2
1.14.19.n4	2
1.14.20.1	2
1.14.20.3	1
1.14.20.7	4174
1.14.99.15	1
1.14.99.39	2
1.14.99.44	1
1.14.99.46	3924
1.14.99.48	250
1.14.99.50	4438
1.14.99.53	2
1.14.99.54	1
1.14.99.57	2
1.14.99.58	2
1.14.99.60	12668
1.14.99.61	1
1.14.99.62	1
1.14.99.63	2
1.14.99.65	1
1.1.5.11	1
1.15.1.1	95254
1.1.5.12	7892
1.15.1.2	5086
1.1.5.13	2288
1.1.5.2	3
1.1.5.3	45148
1.1.5.4	26968
1.1.5.5	7
1.1.5.8	2
1.16.1.1	8316
1.16.1.7	2
1.16.1.9	1
1.16.3.1	28142
1.16.3.2	25444
1.1.7.1	3
1.17.1.4	122
1.17.1.5	4
1.17.1.8	60818
1.17.1.9	12496
1.17.2.1	2
1.17.2.2	1
1.17.2.3	1
1.17.4.1	125912
1.17.4.2	2112
1.17.5.2	3
1.17.5.3	1
1.17.7.1	1228
1.17.7.3	57538
1.17.7.4	59526
1.17.8.1	3
1.17.9.1	1
1.17.98.2	1
1.17.98.4	1
1.17.99.6	48432
1.18.1.1	6
1.18.1.2	49936
1.18.1.3	686
1.18.1.5	1
1.18.1.7	2
1.18.6.1	26636
1.1.9.1	3
1.19.1.1	3428
1.1.98.2	2322
1.1.98.3	3
1.1.98.6	3
1.1.99.1	14476
1.1.99.11	1
1.1.99.14	6
1.1.99.22	4
1.1.99.28	1
1.1.99.3	3
1.1.99.30	1
1.1.99.31	1
1.1.99.32	1
1.1.99.35	1
1.1.99.36	2
1.1.99.37	2
1.1.99.38	1
1.1.99.42	1
1.20.1.1	1
1.20.4.1	28414
1.20.4.3	2
1.20.4.4	3164
1.20.9.1	4
1.2.1.10	13680
1.2.1.100	1
1.2.1.103	580
1.2.1.11	66902
1.2.1.12	7114
1.2.1.16	3
1.2.1.19	2898
1.2.1.21	1
1.2.1.22	1
1.2.1.24	2
1.2.1.26	5
1.2.1.27	3778
1.2.1.28	5
1.2.1.3	20054
1.2.1.30	0
1.21.3.1	8
1.2.1.32	1
1.2.1.38	60782
1.2.1.39	2
1.2.1.4	3
1.2.1.41	61452
1.21.4.1	2
1.21.4.2	2696
1.21.4.3	2686
1.21.4.4	2686
1.21.4.5	1
1.2.1.46	2
1.2.1.48	1
1.2.1.5	2
1.2.1.50	3434
1.2.1.58	5
1.2.1.59	18
1.2.1.62	1
1.2.1.65	2
1.2.1.67	3
1.2.1.68	3
1.2.1.69	1
1.2.1.7	1
1.2.1.70	48378
1.2.1.71	10900
1.2.1.72	4414
1.2.1.73	1
1.2.1.76	1
1.2.1.77	1
1.2.1.78	1
1.2.1.79	20
1.2.1.8	18118
1.2.1.80	1074
1.2.1.81	1
1.2.1.83	1
1.2.1.85	2
1.2.1.86	1
1.2.1.87	740
1.2.1.88	40154
1.2.1.9	2
1.2.1.91	1
1.2.1.92	1
1.2.1.96	1
1.2.1.97	1
1.2.1.98	1
1.21.98.1	9656
1.21.98.2	1
1.21.98.3	4
1.21.98.4	10564
1.2.1.n2	1
1.2.3.3	2
1.2.4.1	86148
1.2.4.2	13024
1.2.4.4	14420
1.2.5.1	8490
1.2.5.2	4
1.2.5.3	6
1.2.7.1	274
1.2.7.10	3
1.2.7.3	2
1.2.7.4	5060
1.2.98.1	2
1.2.99.10	3
1.2.99.6	6
1.2.99.7	1
1.3.1.1	7
1.3.1.103	1
1.3.1.104	1
1.3.1.106	3
1.3.1.108	3
1.3.1.113	1
1.3.1.114	1
1.3.1.115	1
1.3.1.116	1
1.3.1.12	11748
1.3.1.120	1
1.3.1.14	5774
1.3.1.19	1
1.3.1.25	2
1.3.1.28	3
1.3.1.29	3
1.3.1.31	1
1.3.1.32	1882
1.3.1.33	1536
1.3.1.34	2
1.3.1.39	590
1.3.1.43	1
1.3.1.44	10966
1.3.1.49	0
1.3.1.53	2
1.3.1.54	5
1.3.1.56	6
1.3.1.58	2
1.3.1.6	1
1.3.1.60	2
1.3.1.70	1
1.3.1.76	41472
1.3.1.83	2884
1.3.1.84	3
1.3.1.85	1
1.3.1.86	2
1.3.1.87	470
1.3.1.9	62662
1.3.1.91	24302
1.3.1.95	1
1.3.1.98	77598
1.3.1.n3	1
1.3.3.11	10174
1.3.3.13	1
1.3.3.14	1
1.3.3.15	19332
1.3.3.3	32354
1.3.5.1	48634
1.3.5.2	45234
1.3.5.3	5474
1.3.5.4	21264
1.3.5.5	1108
1.3.5.6	1120
1.3.7.1	1
1.3.7.15	1226
1.3.7.2	246
1.3.7.3	574
1.3.7.5	1228
1.3.7.7	8466
1.3.7.8	4
