EC	count
5.1.3.11	3360
5.1.3.13	52502
5.1.3.14	3028
5.1.3.15	15758
5.1.3.2	78822
5.1.3.20	13832
5.1.3.21	798
5.1.3.22	1366
5.1.3.23	1
5.1.3.24	1862
5.1.3.25	1
5.1.3.26	1
5.1.3.27	2
5.1.3.29	1794
5.1.3.3	37966
5.1.3.30	3
5.1.3.31	2
5.1.3.32	5410
5.1.3.33	1
5.1.3.34	1
5.1.3.35	1
5.1.3.37	3504
5.1.3.38	1
5.1.3.4	8794
5.1.3.40	1
5.1.3.41	3
5.1.3.6	1
5.1.3.7	1
5.1.3.9	15730
5.1.99.1	1
5.1.99.4	1
5.1.99.5	3
5.1.99.6	57542
5.1.99.7	4
5.1.99.8	412
5.2.1.1	4172
5.2.1.2	3
5.2.1.4	1
5.2.1.8	370356
5.3.1.1	81536
5.3.1.12	23064
5.3.1.13	16104
5.3.1.14	7608
5.3.1.15	2
5.3.1.16	56960
5.3.1.17	15568
5.3.1.22	3
5.3.1.23	27144
5.3.1.24	62502
5.3.1.25	6628
5.3.1.26	2992
5.3.1.27	3
5.3.1.28	23246
5.3.1.3	1
5.3.1.30	636
5.3.1.31	1632
5.3.1.32	1822
5.3.1.33	10414
5.3.1.34	5
5.3.1.35	4
5.3.1.36	1
5.3.1.4	13398
5.3.1.5	29278
5.3.1.6	37718
5.3.1.8	35420
5.3.1.9	78578
5.3.2.2	4
5.3.2.3	1
5.3.2.5	1876
5.3.2.6	2470
5.3.2.8	1
5.3.3.1	9
5.3.3.10	4
5.3.3.14	12722
5.3.3.17	3
5.3.3.18	1
5.3.3.19	3
5.3.3.2	30342
5.3.3.3	1
5.3.3.4	7564
5.3.3.6	1
5.3.3.7	1
5.3.3.8	7414
5.3.99.10	1
5.3.99.11	4
5.3.99.7	1
5.4.1.3	1
5.4.1.4	1
5.4.2.10	56554
5.4.2.11	37760
5.4.2.12	50710
5.4.2.2	26
5.4.2.6	3
5.4.2.7	24660
5.4.2.8	3440
5.4.2.9	3
5.4.3.2	5550
5.4.3.3	4
5.4.3.5	0
5.4.3.6	5
5.4.3.8	52438
5.4.3.9	1
5.4.4.1	2
5.4.4.2	29848
5.4.4.3	1
5.4.4.4	1
5.4.99.1	3228
5.4.99.12	79570
5.4.99.13	9276
5.4.99.15	3
5.4.99.16	14618
5.4.99.17	4
5.4.99.18	63438
5.4.99.19	13
5.4.99.2	11148
5.4.99.20	15
5.4.99.21	6
5.4.99.22	21
5.4.99.23	28
5.4.99.24	604
5.4.99.25	73322
5.4.99.26	14
5.4.99.27	16088
5.4.99.28	13
5.4.99.29	13
5.4.99.4	1
5.4.99.5	59196
5.4.99.59	1
5.4.99.60	4
5.4.99.61	5
5.4.99.62	28972
5.4.99.63	2
5.4.99.67	1
5.4.99.9	7
5.5.1.1	5
5.5.1.12	2
5.5.1.13	1
5.5.1.15	1
5.5.1.16	1
5.5.1.19	4
5.5.1.2	4
5.5.1.23	3
5.5.1.25	1
5.5.1.26	1
5.5.1.27	1
5.5.1.29	1
5.5.1.30	1
5.5.1.4	3
5.5.1.7	2022
5.6.2.1	122328
5.6.2.2	333940
5.99.1.4	20372
6.1.1.1	79338
6.1.1.10	79050
6.1.1.11	76614
6.1.1.12	30478
6.1.1.14	114228
6.1.1.15	80684
6.1.1.16	77916
6.1.1.17	84216
6.1.1.18	32432
6.1.1.19	82332
6.1.1.2	85064
6.1.1.20	156050
6.1.1.21	73858
6.1.1.22	33880
6.1.1.23	46306
6.1.1.3	81270
6.1.1.4	86040
6.1.1.5	80738
6.1.1.6	77628
6.1.1.7	98996
6.1.1.9	82160
6.1.2.1	2
6.1.2.2	1
6.1.3.1	3
6.2.1.1	40698
6.2.1.12	3
6.2.1.14	1502
6.2.1.16	1
6.2.1.17	2
6.2.1.19	4
6.2.1.2	10
6.2.1.20	3072
6.2.1.22	6830
6.2.1.25	2
6.2.1.26	6418
6.2.1.27	2
6.2.1.3	25
6.2.1.30	21408
6.2.1.32	1
6.2.1.33	3
6.2.1.34	1
6.2.1.35	1
6.2.1.37	1
6.2.1.39	1
6.2.1.4	2
6.2.1.41	3
6.2.1.42	5
6.2.1.43	1
6.2.1.44	1
6.2.1.46	1
6.2.1.47	8
6.2.1.48	2038
6.2.1.49	4
6.2.1.5	106618
6.2.1.50	4
6.2.1.51	3
6.2.1.53	3
6.2.1.54	5102
6.2.1.57	3
6.2.1.59	4
6.2.1.62	1
6.2.1.65	1
6.2.1.7	1
6.2.1.9	3
6.2.1.n2	3
6.3.1.1	11870
6.3.1.11	1
6.3.1.12	1
6.3.1.13	7858
6.3.1.15	1
6.3.1.18	1
6.3.1.19	7438
6.3.1.2	56050
6.3.1.20	17454
6.3.1.5	35190
6.3.1.6	1
6.3.1.8	2
6.3.2.1	59670
6.3.2.10	67278
6.3.2.12	29604
6.3.2.13	58194
6.3.2.14	5
6.3.2.17	29606
6.3.2.2	62834
6.3.2.20	1
6.3.2.26	1
6.3.2.29	7472
6.3.2.3	31760
6.3.2.30	7472
6.3.2.31	2498
6.3.2.34	2498
6.3.2.37	1
6.3.2.38	2
6.3.2.39	2
6.3.2.4	85906
6.3.2.43	1
6.3.2.45	16406
6.3.2.46	1
6.3.2.47	1
6.3.2.48	1
6.3.2.49	3
6.3.2.5	61524
6.3.2.53	1452
6.3.2.54	1
6.3.2.55	1
6.3.2.56	1
6.3.2.6	71552
6.3.2.7	2542
6.3.2.8	69528
6.3.2.9	71938
6.3.3.1	67794
6.3.3.2	64584
6.3.3.3	43296
6.3.3.4	1
6.3.3.5	1
6.3.3.6	1
6.3.4.12	2
6.3.4.13	70198
6.3.4.14	62704
6.3.4.15	35706
6.3.4.18	49802
6.3.4.19	74890
6.3.4.2	77546
6.3.4.20	39732
6.3.4.21	54594
6.3.4.3	36716
6.3.4.4	70346
6.3.4.5	65738
6.3.5.1	43832
6.3.5.11	13816
6.3.5.13	30922
6.3.5.2	71450
6.3.5.3	129638
6.3.5.4	19232
6.3.5.5	144390
6.3.5.7	59154
6.3.5.9	11374
6.4.1.1	18742
6.4.1.2	55406
6.4.1.3	8706
6.4.1.6	3
6.4.1.7	2
6.4.1.8	5
6.5.1.1	66028
6.5.1.2	85580
6.5.1.4	5364
6.5.1.8	37942
6.5.1.9	10
6.6.1.1	8152
6.6.1.2	4
7.1.1.1	76242
7.1.1.2	3838
7.1.1.3	8220
7.1.1.6	1310
7.1.1.7	8
7.1.1.8	42710
7.1.1.9	130454
7.1.2.2	142784
7.1.3.1	18186
7.2.1.1	69896
7.2.1.2	6
7.2.2.1	5
7.2.2.10	6910
7.2.2.11	2060
7.2.2.12	7
7.2.2.14	20120
7.2.2.15	1
7.2.2.16	2
7.2.2.20	12600
7.2.2.21	12
7.2.2.4	2
7.2.2.5	1
7.2.2.6	29824
7.2.2.7	9762
7.2.2.8	8982
7.2.2.9	10
7.2.4.1	136
7.2.4.2	25168
7.2.4.5	5496
7.3.2.1	67242
7.3.2.2	24956
7.3.2.3	18672
7.3.2.4	4
7.3.2.5	14090
7.3.2.6	2
7.3.2.7	2780
7.4.2.1	2
7.4.2.10	16
7.4.2.11	45678
7.4.2.12	1
7.4.2.5	13
7.4.2.8	814
7.4.2.9	12
7.5.2.1	2970
7.5.2.10	4502
7.5.2.11	6668
7.5.2.12	5956
7.5.2.3	2504
7.5.2.4	2320
7.5.2.5	1
7.5.2.6	16544
7.5.2.7	28746
7.5.2.8	1
7.5.2.9	2
7.6.2.10	9240
7.6.2.11	59710
7.6.2.12	2
7.6.2.13	3014
7.6.2.14	16250
7.6.2.15	7444
7.6.2.16	1
7.6.2.2	2302
7.6.2.5	18832
7.6.2.7	7306
7.6.2.8	3510
7.6.2.9	5
1.1.3.10	12
1.1.3.20	367
1.14.11.4	5
1.14.11.7	27
1.14.11.8	15
1.14.13.8	316
1.14.18.2	147
1.14.99.1	1
1.17.4.4	9
1.1.99.24	1143
1.2.7.5	1
1.2.7.8	4522
1.3.1.74	1
1.3.1.75	582
1.5.1.7	1788
1.6.3.1	316
1.8.1.12	11
1.8.3.2	110
1.8.98.2	324
2.1.1.206	14
2.1.1.233	2
2.1.1.360	148
2.1.1.372	1
2.1.1.86	8
2.3.1.257	3
2.3.1.38	124
2.3.1.85	124
2.3.1.97	8
2.3.3.8	760
2.4.1.123	4
2.4.1.132	85
2.4.1.207	2
2.4.1.255	1257
2.4.1.257	85
2.5.1.108	12
2.5.1.46	1
2.5.1.89	1
2.7.10.1	1
2.7.11.23	1
2.7.11.24	24
2.7.1.161	114
2.7.1.36	3498
2.7.4.14	1
2.7.4.26	522
2.7.7.79	436
2.9.1.2	4
3.1.13.4	2
3.1.1.53	2
3.1.3.24	292
3.1.3.33	11
3.1.4.38	2
3.2.1.101	5
3.2.1.6	165
3.4.19.1	1811
3.4.19.12	84
3.4.19.9	1
3.4.24.24	1
3.4.24.71	3
3.5.1.122	60
3.5.1.89	774
3.5.4.6	2
3.6.1.16	4
3.6.1.29	15
3.6.1.53	4
3.6.4.6	2
3.6.5.3	1
3.7.1.2	8418
4.1.1.33	3366
4.1.1.35	13788
4.1.3.44	8
4.3.1.4	1659
4.3.2.5	239
4.6.1.2	463
5.2.1.13	529
5.3.4.1	2
5.3.99.3	1
5.5.1.6	1
6.2.1.13	3
6.2.1.45	1
6.5.1.3	91
7.6.2.1	3
