piece:2	epoch:4	loss:0.09490948	accuracy:0.94536667	lr:9e-05	seqs/sec:664.9	device: cuda:1
piece:2	epoch:5	loss:0.09481622	accuracy:0.94666667	lr:9e-05	seqs/sec:665.7	device: cuda:0
piece:2	epoch:5	loss:0.09490948	accuracy:0.94536667	lr:9e-05	seqs/sec:665.7	device: cuda:1
piece:2	epoch:6	loss:0.09481622	accuracy:0.94666667	lr:8.1e-05	seqs/sec:663.0	device: cuda:0
piece:2	epoch:6	loss:0.09490948	accuracy:0.94536667	lr:8.1e-05	seqs/sec:663.0	device: cuda:1
piece:2	epoch:7	loss:0.09481622	accuracy:0.94666667	lr:8.1e-05	seqs/sec:663.0	device: cuda:0
piece:2	epoch:7	loss:0.09490948	accuracy:0.94536667	lr:8.1e-05	seqs/sec:663.0	device: cuda:1
piece:2	epoch:8	loss:0.09481622	accuracy:0.94666667	lr:8.1e-05	seqs/sec:663.4	device: cuda:0
piece:2	epoch:8	loss:0.09490948	accuracy:0.94536667	lr:8.1e-05	seqs/sec:663.4	device: cuda:1
piece:2	epoch:9	loss:0.09481622	accuracy:0.94666667	lr:7.290000000000001e-05	seqs/sec:665.2	device: cuda:0
piece:2	epoch:9	loss:0.09490948	accuracy:0.94536667	lr:7.290000000000001e-05	seqs/sec:665.2	device: cuda:1
piece:2	epoch:10	loss:0.09490948	accuracy:0.94536667	lr:7.290000000000001e-05	seqs/sec:668.1	device: cuda:1
piece:2	epoch:10	loss:0.09481622	accuracy:0.94666667	lr:7.290000000000001e-05	seqs/sec:668.1	device: cuda:0
piece:2	epoch:11	loss:0.09481622	accuracy:0.94666667	lr:7.290000000000001e-05	seqs/sec:668.1	device: cuda:0
piece:2	epoch:11	loss:0.09490948	accuracy:0.94536667	lr:7.290000000000001e-05	seqs/sec:668.1	device: cuda:1
piece:2	epoch:12	loss:0.09481622	accuracy:0.94666667	lr:6.561000000000002e-05	seqs/sec:663.4	device: cuda:0
piece:2	epoch:12	loss:0.09490948	accuracy:0.94536667	lr:6.561000000000002e-05	seqs/sec:663.4	device: cuda:1
piece:2	epoch:13	loss:0.09490948	accuracy:0.94536667	lr:6.561000000000002e-05	seqs/sec:663.6	device: cuda:1
piece:2	epoch:13	loss:0.09481622	accuracy:0.94666667	lr:6.561000000000002e-05	seqs/sec:663.6	device: cuda:0
piece:2	epoch:14	loss:0.09481622	accuracy:0.94666667	lr:6.561000000000002e-05	seqs/sec:666.1	device: cuda:0
piece:2	epoch:14	loss:0.09490948	accuracy:0.94536667	lr:6.561000000000002e-05	seqs/sec:666.1	device: cuda:1
piece:2	epoch:15	loss:0.09490948	accuracy:0.94536667	lr:5.904900000000002e-05	seqs/sec:661.6	device: cuda:1
piece:2	epoch:15	loss:0.09481622	accuracy:0.94666667	lr:5.904900000000002e-05	seqs/sec:661.6	device: cuda:0
